ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,LONGITUD,LATITUD,ALTITUD,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_3YMAS,P_3YMAS_F,P_3YMAS_M,P_5YMAS,P_5YMAS_F,P_5YMAS_M,P_12YMAS,P_12YMAS_F,P_12YMAS_M,P_15YMAS,P_15YMAS_F,P_15YMAS_M,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_8A14,P_8A14_F,P_8A14_M,P_12A14,P_12A14_F,P_12A14_M,P_15A17,P_15A17_F,P_15A17_M,P_18A24,P_18A24_F,P_18A24_M,P_15A49_F,P_60YMAS,P_60YMAS_F,P_60YMAS_M,REL_H_M,POB0_14,POB15_64,POB65_MAS,P_0A4,P_0A4_F,P_0A4_M,P_5A9,P_5A9_F,P_5A9_M,P_10A14,P_10A14_F,P_10A14_M,P_15A19,P_15A19_F,P_15A19_M,P_20A24,P_20A24_F,P_20A24_M,P_25A29,P_25A29_F,P_25A29_M,P_30A34,P_30A34_F,P_30A34_M,P_35A39,P_35A39_F,P_35A39_M,P_40A44,P_40A44_F,P_40A44_M,P_45A49,P_45A49_F,P_45A49_M,P_50A54,P_50A54_F,P_50A54_M,P_55A59,P_55A59_F,P_55A59_M,P_60A64,P_60A64_F,P_60A64_M,P_65A69,P_65A69_F,P_65A69_M,P_70A74,P_70A74_F,P_70A74_M,P_75A79,P_75A79_F,P_75A79_M,P_80A84,P_80A84_F,P_80A84_M,P_85YMAS,P_85YMAS_F,P_85YMAS_M,PROM_HNV,PNACENT,PNACENT_F,PNACENT_M,PNACOE,PNACOE_F,PNACOE_M,PRES2015,PRES2015_F,PRES2015_M,PRESOE15,PRESOE15_F,PRESOE15_M,P3YM_HLI,P3YM_HLI_F,P3YM_HLI_M,P3HLINHE,P3HLINHE_F,P3HLINHE_M,P3HLI_HE,P3HLI_HE_F,P3HLI_HE_M,P5_HLI,P5_HLI_NHE,P5_HLI_HE,PHOG_IND,POB_AFRO,POB_AFRO_F,POB_AFRO_M,PCON_DISC,PCDISC_MOT,PCDISC_VIS,PCDISC_LENG,PCDISC_AUD,PCDISC_MOT2,PCDISC_MEN,PCON_LIMI,PCLIM_CSB,PCLIM_VIS,PCLIM_HACO,PCLIM_OAUD,PCLIM_MOT2,PCLIM_RE_CO,PCLIM_PMEN,PSIND_LIM,P3A5_NOA,P3A5_NOA_F,P3A5_NOA_M,P6A11_NOA,P6A11_NOAF,P6A11_NOAM,P12A14NOA,P12A14NOAF,P12A14NOAM,P15A17A,P15A17A_F,P15A17A_M,P18A24A,P18A24A_F,P18A24A_M,P8A14AN,P8A14AN_F,P8A14AN_M,P15YM_AN,P15YM_AN_F,P15YM_AN_M,P15YM_SE,P15YM_SE_F,P15YM_SE_M,P15PRI_IN,P15PRI_INF,P15PRI_INM,P15PRI_CO,P15PRI_COF,P15PRI_COM,P15SEC_IN,P15SEC_INF,P15SEC_INM,P15SEC_CO,P15SEC_COF,P15SEC_COM,P18YM_PB,P18YM_PB_F,P18YM_PB_M,GRAPROES,GRAPROES_F,GRAPROES_M,PEA,PEA_F,PEA_M,PE_INAC,PE_INAC_F,PE_INAC_M,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PDESOCUP_F,PDESOCUP_M,PSINDER,PDER_SS,PDER_IMSS,PDER_ISTE,PDER_ISTEE,PAFIL_PDOM,PDER_SEGP,PDER_IMSSB,PAFIL_IPRIV,PAFIL_OTRAI,P12YM_SOLT,P12YM_CASA,P12YM_SEPA,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,HOGJEF_M,POBHOG,PHOGJEF_F,PHOGJEF_M,VIVTOT,TVIVHAB,TVIVPAR,VIVPAR_HAB,VIVPARH_CV,TVIVPARHAB,VIVPAR_DES,VIVPAR_UT,OCUPVIVPAR,PROM_OCUP,PRO_OCUP_C,VPH_PISODT,VPH_PISOTI,VPH_1DOR,VPH_2YMASD,VPH_1CUART,VPH_2CUART,VPH_3YMASC,VPH_C_ELEC,VPH_S_ELEC,VPH_AGUADV,VPH_AEASP,VPH_AGUAFV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_LETR,VPH_DRENAJ,VPH_NODREN,VPH_C_SERV,VPH_NDEAED,VPH_DSADMA,VPH_NDACMM,VPH_SNBIEN,VPH_REFRI,VPH_LAVAD,VPH_HMICRO,VPH_AUTOM,VPH_MOTO,VPH_BICI,VPH_RADIO,VPH_TV,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_CVJ,VPH_SINRTV,VPH_SINLTC,VPH_SINCINT,VPH_SINTIC,TAMLOC
9,Ciudad de México,7,Iztapalapa,1,Iztapalapa," 99°05'33.441"" W","19°21'32.414"" N",2239.0,1835486,947835,887651,57907,28569,29338,1777184,919066,858118,1731943,896557,835386,1550672,807550,743122,1468256,766847,701409,1383459,725294,658165,69475,34456,35019,157037,77060,79977,189095,92969,96126,82416,40703,41713,84797,41553,43244,209136,103444,105692,502375,262064.0,146769,115295,93.65,366835,1293944,174312,103148,51078,52070,126728,62279,64449,136959,67431,69528,143193,70085,73108,150740,74912,75828,151590,76092,75498,144870,73562,71308,136930,70485,66445,131513,68867,62646,129385,68372,61013,118681,63783,54898,99290,53920,45370,87752,48146,39606,64935,35877,29058,46866,26051,20815,29463,16469,12994,17848,10539,7309,15200,9687,5513,1.8,1469086,748603,720483,358708,195863,162845,1673257,872181,801076,42706,22023,20683,28716,14760,13956,305,183,122,28059,14488,13571,28582,298,27932,73036,    33313,    16801,    16512,104424,49556,47193,12640,23207.0,16076,17049,233756,72989,156029,12033,49836,10724,44113,29281,1482533,24183,11907,12276,7206,3381,3825,5831,2656,3175,66351,33413,32938,81960,41381,40579,3065,1331,1734,26774,18428,8346,46418,24437,21981,69624,41866,27758,164649,92474,72175,46664,20681,25983,349081,177802,171279,742921,382682,360239,10.42,10.33,10.52,984791,431714,553077,563273,374587,188686,963957,424408,539549,20834,7306,13528,594796,1239534,682711,198029,3023,16218,302911,3418,25250,24076,576503,748864,224877,1384540,154092,6142.0,288659,504365,193029,311336,1820809,655998,1164811,537596,504456,522378,489238,503620,504365,26924,6216,1820809,3.61,0.92,500645,2872,153423,350127,33976,70414,399153,503261,300,502275,495107,1278,421102,324283.0,502598,374,503213,327,501797,19,502702,290895,1500,462790,397599,294422,197085,38245,111361,389145,484383,247057,323613,455216,349103,183804,116462,82472,9371,18791,132846,2489,14
21,Puebla,114,Puebla,1,Heroica Puebla de Zaragoza," 98°11'50.981"" W","19°02'38.363"" N",2137.0,1542232,806262,735970,58941,29130,29811,1482352,776661,705691,1437603,754500,683103,1283554,678761,604793,1213260,644133,569127,1139084,607661,531423,68047,33450,34597,130751,64450,66301,158573,77928,80645,70294,34628,35666,74176,36472,37704,195465,97295,98170,434259,203960.0,116350,87610,91.28,328033,1075729,137531,103690,51291,52399,109220,53783,55437,115123,56584,58539,128574,63303,65271,141067,70464,70603,129208,65620,63588,114181,59690,54491,110999,58694,52305,110130,59759,50371,104921,56729,48192,94727,51991,42736,75493,41533,33960,66429,37257,29172,49833,27913,21920,36678,20869,15809,22966,13046,9920,15157,9156,6001,12897,8109,4788,1.74,1313760,681270,632490,219367,120467,98900,1384689,729548,655141,43974,22542,21432,27929,14568,13361,315,212,103,27272,14246,13026,27789,314,27137,67752,    34881,    17904,    16977,62112,28417,27679,8995,15147.0,11778,11713,159647,48572,103057,9394,38268,9172,33418,18605,1309670,15129,7184,7945,5452,2570,2882,4808,2121,2687,61915,30927,30988,95061,47714,47347,2495,1057,1438,23030,15492,7538,29514,19080,10434,50015,30380,19635,130428,73887,56541,28823,13309,15514,225594,117790,107804,704702,365652,339050,11.4,11.23,11.59,794483,351727,442756,486668,325906,160762,775643,345000,430643,18840,6727,12113,438071,1102171,679713,71464,45019,13929,246858,5955,34973,19081,487597,623426,171825,1254792,131864,3426.0,149307,440266,159207,281059,1535642,511529,1024113,522858,440422,500466,418030,439664,440266,60863,21573,1535642,3.49,0.82,435110,4184,107363,331994,15074,42741,381547,438774,593,432932,405054,6434,374145,311580.0,436750,1811,437747,1579,431954,100,436965,226439,1166,401403,337299,249744,203401,26274,82921,352800,418558,227382,214884,409277,293163,180746,113497,67255,8926,15683,124400,2012,14
14,Jalisco,120,Zapopan,1,Zapopan,"103°23'20.356"" W","20°43'15.463"" N",1577.0,1257547,645398,612149,48688,24172,24516,1180474,607023,573451,1143787,588830,554957,1019773,527859,491914,964711,500922,463789,907169,472636,434533,55557,27601,27956,105144,51563,53581,125555,61424,64131,55062,26937,28125,57542,28286,29256,155136,76876,78260,340453,159350.0,88003,71347,94.85,264451,859094,105617,85375,42365,43010,88551,43707,44844,90525,44201,46324,100045,49242,50803,112633,55920,56713,107432,53696,53736,97987,49694,48293,91272,46641,44631,81537,42704,38833,80401,42556,37845,73365,39626,33739,60689,32840,27849,53733,29508,24225,40080,21953,18127,29302,15807,13495,17537,9478,8059,10238,5935,4303,8460,5322,3138,1.81,988232,506472,481760,222340,115695,106645,1097269,566342,530927,37358,18267,19091,12400,6517,5883,59,34,25,11939,6269,5670,12267,58,11816,22958,    25826,    12891,    12935,47341,24096,18819,7283,9738.0,9783,9553,108291,35685,65298,6822,23753,6214,23123,15703,1063082,18771,9201,9570,5377,2575,2802,4700,2105,2595,44148,22390,21758,68323,34073,34250,2274,952,1322,14494,8177,6317,21464,11795,9669,43664,23948,19716,92947,51047,41900,24721,10953,13768,172915,90817,82098,574746,293376,281370,11.63,11.46,11.81,674613,297333,377280,341418,228728,112690,665130,293991,371139,9483,3342,6141,341643,884611,676861,35271,2145,7230,74980,2788,110170,11167,398913,505593,113402,1075964,61471,2532.0,85117,363503,128630,234873,1253619,411692,841927,409334,363694,362151,316511,363237,363503,36186,9454,1253619,3.45,0.82,350046,4785,70775,284234,6669,27804,320530,354854,191,354434,341075,592,301783,255077.0,354547,225,354214,301,353548,11,353892,104427,349,347598,316005,252836,241837,36816,81131,271473,344153,227434,226470,338888,281051,182738,153816,91651,5069,7184,62151,918,14
15,México,33,Ecatepec de Morelos,1,Ecatepec de Morelos," 99°02'56.971"" W","19°35'56.650"" N",2259.0,1643623,845932,797691,62303,31032,31271,1580753,814619,766134,1531092,789979,741113,1360692,706388,654304,1283953,668347,615606,1205567,629631,575936,75149,37139,38010,144912,71092,73820,174832,86024,88808,76739,38041,38698,78386,38716,39670,189084,93942,95142,444730,221920.0,120203,101717,94.3,359103,1140021,143932,111964,55672,56292,120262,59133,61129,126877,62499,64378,132259,65070,67189,135211,67588,67623,131060,66189,64871,122702,63121,59581,118697,61985,56712,113433,60102,53331,114588,60675,53913,105869,56236,49633,88214,47178,41036,77988,42078,35910,57411,30701,26710,39358,21134,18224,23803,12559,11244,13371,7559,5812,9989,6172,3817,1.89,882233,445176,437057,750866,395356,355510,1491695,770292,721403,34404,17476,16928,24564,12544,12020,251,171,80,23462,11940,11522,24374,249,23295,64478,    31759,    15937,    15822,85599,38120,41056,11309,18262.0,13531,14048,217282,62026,152770,11988,46692,10636,37736,22065,1326962,28948,14295,14653,7813,3747,4066,6034,2699,3335,62212,31588,30624,72656,36773,35883,2893,1255,1638,24686,16585,8101,36743,23300,13443,64295,38139,26156,161318,90340,70978,36565,16346,20219,321629,162688,158941,614017,310677,303340,10.23,10.05,10.41,838931,351133,487798,517268,352984,164284,820011,344828,475183,18920,6305,12615,583711,1055037,699237,106854,14643,7963,190929,4977,19105,20400,486097,689389,182673,1228426,138939,5744.0,263696,448140,152140,296000,1643070,524103,1118967,502331,448205,486073,431947,447586,448140,40470,13656,1643070,3.67,0.9,441400,5398,129648,317517,20009,61865,365256,446897,310,442954,401783,4152,395976,254336.0,445699,1043,445269,683,441257,16,444602,242992,1314,411604,358963,253684,185967,45204,134055,336179,430446,202082,271406,401122,290432,151628,86775,63620,8344,19692,134765,2528,14
15,México,58,Nezahualcóyotl,1,Ciudad Nezahualcóyotl," 99°01'05.520"" W","19°24'31.548"" N",2262.0,1072676,556998,515678,35487,17490,17997,1036979,539396,497583,1007210,524697,482513,903341,473348,429993,856258,449982,406276,807041,425808,381233,45361,22418,22943,88277,43630,44647,107205,53104,54101,47083,23366,23717,49217,24174,25043,120589,59327,61262,287328,164418.0,92137,72281,92.58,216208,741872,114386,65256,32189,33067,73036,36014,37022,77916,38701,39215,83493,40901,42592,86313,42600,43713,83273,42261,41012,77609,40170,37439,74821,39175,35646,75760,40065,35695,79425,42156,37269,72986,39214,33772,58160,31303,26857,50032,27533,22499,38114,21344,16770,30085,16823,13262,20918,11732,9186,14065,8041,6024,11204,6664,4540,1.9,558976,284155,274821,506750,269423,237327,979473,510851,468622,23951,12222,11729,12975,6663,6312,112,79,33,12478,6381,6097,12893,107,12409,32292,    18869,     9633,     9236,59559,28817,26976,7517,13136.0,10054,9687,140393,43480,95877,7658,31067,6942,25201,15270,863476,15660,7695,7965,4477,2183,2294,3399,1553,1846,39635,20011,19624,49937,25051,24886,1542,709,833,15877,11001,4876,22244,14578,7666,45038,27322,17716,100127,56846,43281,24725,10756,13969,200343,102151,98192,432084,221079,211005,10.44,10.26,10.64,557711,241511,316200,342400,230264,112136,545387,237414,307973,12324,4097,8227,379809,689880,397029,95519,8658,5447,160775,4101,10737,14900,335901,426412,139309,808261,88746,3194.0,166895,297930,110629,187301,1071712,375505,696207,318806,297975,301936,281105,297619,297930,14939,5892,1071712,3.6,0.92,295612,1761,108768,188687,18118,53506,225828,297297,170,296576,290734,869,273330,253123.0,297044,134,296735,98,295766,9,296443,166897,867,270389,233701,159427,115857,33243,98178,225968,286367,139122,182115,265642,204588,92213,60342,42184,5493,13623,80290,1620,14
14,Jalisco,39,Guadalajara,1,Guadalajara,"103°20'32.000"" W","20°40'35.000"" N",1536.0,1385621,718628,666993,47518,23401,24117,1333723,693036,640687,1295870,674242,621628,1166386,610404,555982,1109163,582347,526816,1048043,552220,495823,56461,27996,28465,110876,54636,56240,131860,64781,67079,57223,28057,29166,61120,30127,30993,162852,80584,82268,360251,238500.0,136269,102231,92.81,272078,940746,168417,85371,42195,43176,91850,45377,46473,94857,46518,48339,106176,52178,53998,117796,58533,59263,113418,56127,57291,104873,52446,52427,96548,48889,47659,88335,45980,42355,87221,46098,41123,83788,45649,38139,72508,40178,32330,70083,39238,30845,56521,31867,24654,45109,25564,19545,30039,17034,13005,19737,11780,7957,17011,10786,6225,1.96,1208898,624885,584013,159510,85407,74103,1268219,661045,607174,21003,10403,10600,4150,2042,2108,38,24,14,4031,1974,2057,4109,35,3998,7689,    28303,    14337,    13966,73785,41866,27846,10217,15763.0,15465,14465,145128,54512,85304,9681,33973,9671,32980,21869,1150689,19979,9765,10214,5281,2522,2759,4450,1979,2471,46797,23863,22934,68191,34493,33698,2217,936,1281,16888,10019,6869,25057,14609,10448,58148,33781,24367,128488,72540,55948,29411,12755,16656,228609,117767,110842,600736,308673,292063,10.96,10.8,11.15,747406,332310,415096,415763,276831,138932,736539,328800,407739,10867,3510,7357,408823,970764,814494,38275,2648,2023,70808,2441,40773,15290,471523,527460,166200,1223063,74947,2102.0,78500,398542,154930,243612,1379723,502681,877042,454853,398965,440255,384367,398104,398542,44984,10904,1379723,3.46,0.81,394283,2445,80655,316134,6280,29469,361044,396619,189,396573,394515,222,349241,181962.0,396483,77,396623,121,396298,15,396397,157971,478,388260,345497,267571,226296,39946,96888,308090,385060,224114,238504,368855,299970,205171,132481,79174,5490,9580,81272,1082,14
24,San Luis Potosí,28,San Luis Potosí,1,San Luis Potosí,"100°58'37.049"" W","22°09'05.958"" N",1864.0,845941,437370,408571,33931,16897,17034,811181,420062,391119,785208,407252,377956,697774,364272,333502,658593,344925,313668,617304,324392,292912,38854,19223,19631,74553,36567,37986,89241,43628,45613,39181,19347,19834,41289,20533,20756,107086,53469,53617,235353,104000.0,58415,45585,93.42,186519,589239,69354,59904,29707,30197,62030,30673,31357,64585,31654,32931,71464,35480,35984,76911,38522,38389,74083,37209,36874,66471,33902,32569,60518,31316,29202,55195,29243,25952,55432,29681,25751,52026,28185,23841,42493,22972,19521,34646,18916,15730,24346,13377,10969,18368,10227,8141,11802,6696,5106,7751,4672,3079,7087,4527,2560,1.85,722957,374404,348553,112518,58717,53801,753302,392966,360336,25143,12080,13063,4559,2145,2414,21,14,7,4274,1998,2276,4520,19,4245,10636,    22374,    11326,    11048,34631,16352,14999,4722,7199.0,6717,6190,93899,27227,61171,4818,18854,4357,17387,11546,710034,10519,5067,5452,2956,1345,1611,2514,1105,1409,32648,16677,15971,47352,23984,23368,1370,576,794,10016,6305,3711,13701,8133,5568,24975,14066,10909,59949,33181,26768,16589,7578,9011,136678,71779,64899,380836,195809,185027,11.57,11.45,11.71,453088,202488,250600,242780,160919,81861,444733,199625,245108,8355,2863,5492,147189,696719,508990,61657,2596,2800,90852,2507,45828,4495,264697,349152,82972,724284,52617,1463.0,64758,242886,86000,156886,841967,277613,564354,280565,243063,260022,222520,242748,242886,31352,6150,841967,3.47,0.78,239806,2532,46547,195870,2685,13900,225819,242053,371,240383,230415,2037,211705,178044.0,241658,459,241497,598,239595,81,241176,79538,438,233478,211529,161945,152985,28324,66724,187434,233922,135942,137441,226386,172051,122482,81484,50003,3786,7038,59175,945,13
9,Ciudad de México,5,Gustavo A. Madero,1,Gustavo A. Madero," 99°06'48.495"" W","19°28'58.603"" N",2230.0,1173351,609477,563874,35261,17306,17955,1137856,592051,545805,1109855,578313,531542,1007795,527969,479826,960772,504545,456227,911482,480252,431230,42615,20950,21665,87446,43132,44314,106549,52771,53778,47023,23424,23599,49290,24293,24997,126620,61797,64823,306027,203469.0,116135,87334,92.52,212345,819397,141375,63262,31044,32218,71634,35361,36273,77449,38407,39042,84333,41281,43052,91577,44809,46768,91448,45079,46369,87626,44189,43437,83599,43083,40516,81503,42720,38783,84691,44866,39825,82520,44541,37979,70006,37842,32164,62094,34192,27902,46560,26030,20530,36300,20814,15486,25079,14406,10673,17679,10617,7062,15757,10076,5681,1.74,949110,486567,462543,217362,119942,97420,1059751,557164,502587,39009,19957,19052,14196,7445,6751,109,70,39,13910,7330,6580,14124,109,13839,33035,    21697,    10949,    10748,68712,35394,28584,8300,16154.0,11935,11974,147274,50861,92623,8292,34938,7942,30397,18572,948029,12505,6070,6435,3808,1813,1995,2841,1251,1590,40377,20263,20114,59858,29581,30277,1364,563,801,14594,10191,4403,25271,12702,12569,37534,23289,14245,94261,55325,38936,24464,10655,13809,195421,99640,95781,550594,283617,266977,11.11,10.98,11.25,618184,274269,343915,387814,252835,134979,603239,268962,334277,14945,5307,9638,300902,871522,555494,137485,2052,7130,146273,2146,20306,15673,385423,463694,158203,901136,90812,4796.0,174901,340155,135255,204900,1162914,435095,727819,370297,340301,362152,332156,339765,340155,22791,7205,1162914,3.42,0.83,338175,1466,104435,235228,15782,43006,280865,339504,160,338900,336452,755,290036,174056.0,338954,139,339341,298,338541,11,338885,187544,847,318061,276870,217062,143448,24627,66256,264089,327503,185635,228113,306796,246278,143954,95131,60940,5779,11780,79559,1523,14
9,Ciudad de México,15,Cuauhtémoc,1,Cuauhtémoc," 99°09'06.781"" W","19°26'29.928"" N",2230.0,545884,284933,260951,14525,7290,7235,531293,277605,253688,519786,271890,247896,480461,252550,227911,462349,243641,218708,444024,234635,209389,17113,8514,8599,33719,16541,17178,41023,20098,20925,18112,8909,9203,18325,9006,9319,51762,25874,25888,152077,93809.0,55146,38663,91.58,83469,398058,64291,26032,13005,13027,27530,13559,13971,29907,14690,15217,31790,15628,16162,38297,19252,19045,50171,25150,25021,53817,26745,27072,47893,24149,23744,40991,21015,19976,38772,20138,18634,35732,19334,16398,31077,17084,13993,29518,16742,12776,22337,12671,9666,16920,9884,7036,10819,6478,4341,7568,4863,2705,6647,4508,2139,1.4,418156,215857,202299,110598,60987,49611,480647,252552,228095,28254,14236,14018,9062,4747,4315,66,51,15,8921,4655,4266,9016,66,8875,18461,    14780,     7540,     7240,29124,14695,12686,3260,6536.0,4680,4657,68992,22239,44874,3504,15394,3489,13415,9069,442238,4345,2195,2150,1844,882,962,1368,625,743,14928,7472,7456,24049,12217,11832,546,235,311,4392,3179,1213,6077,4174,1903,12077,8036,4041,33320,20613,12707,10440,5061,5379,70521,36980,33541,316409,160941,155468,12.41,12.1,12.75,337364,159137,178227,141674,92918,48756,330179,156252,173927,7185,2885,4300,153800,391041,245466,70916,600,4071,44875,1387,34084,4290,204264,203930,71473,378996,40236,5277.0,119709,196466,88721,107745,540976,239584,301392,227906,196593,209043,177730,195845,196466,21296,10017,540976,2.75,0.72,195486,256,57443,138361,6303,16239,173255,195726,82,195626,195261,183,170762,166899.0,195410,27,195673,131,195451,2,195386,115318,343,187837,163848,137214,74419,15170,47753,151662,186150,130963,138201,183557,157682,98006,87040,45215,4197,4123,31274,632,13
9,Ciudad de México,14,Benito Juárez,1,Benito Juárez," 99°09'28.272"" W","19°22'19.172"" N",2238.0,434153,232032,202121,9319,4572,4747,424796,227435,197361,417473,223816,193657,393387,211967,181420,382872,206818,176054,372085,201395,170690,11006,5391,5615,20403,10077,10326,24256,11883,12373,10515,5149,5366,10787,5423,5364,33294,16744,16550,123446,87344.0,52615,34729,87.11,51243,321279,61593,16642,8191,8451,17069,8428,8641,17532,8570,8962,18970,9407,9563,25111,12760,12351,37175,19331,17844,45187,23278,21909,42967,21844,21123,36849,19236,17613,33531,17590,15941,29025,15844,13181,26713,14913,11800,25751,14814,10937,20433,11850,8583,16089,9617,6472,10426,6395,4031,7348,4764,2584,7297,5175,2122,1.11,327780,172701,155079,88103,49827,38276,381588,205125,176463,26615,13919,12696,3540,2134,1406,9,8,1,3517,2119,1398,3529,9,3506,5604,    12325,     6351,     5974,18216,9556,7047,2177,4490.0,3786,3560,50356,15974,30560,2159,12475,2614,10333,7295,361478,1755,841,914,1162,590,572,669,341,328,9600,4895,4705,20575,10170,10405,215,108,107,1350,962,388,2153,1481,672,4193,3028,1165,11067,7843,3224,3414,1776,1638,23731,13776,9955,329366,173476,155890,14.55,14.22,14.93,276919,135320,141599,115666,76285,39381,271246,132702,138544,5673,2618,3055,87197,346451,226913,60598,516,3196,11883,931,70998,3897,161564,176932,54507,305323,24493,4132.0,99203,176053,77537,98516,432259,175739,256520,199993,176175,184968,161150,175845,176053,18203,5615,432259,2.46,0.56,175564,129,54239,121541,2993,9948,162844,175762,29,175745,175492,43,160719,158802.0,175671,5,175751,33,175690,0,175641,55256,114,173596,157519,146509,117981,13355,36766,140916,169785,149689,141364,170360,161786,122608,112039,54473,2434,1141,10638,191,12
